"C","J","CTY","Val"
"ctont","jtooln","MYS",-0.5
"ctont","jtooln","NGA",-0.5
"ctont","jtooln","NPL",-0.5
"ctont","jtooln","NZL",-0.5
"ctont","jtooln","OBN",-0.5
"ctont","jtooln","OPO",-0.5
"ctont","jtooln","PAK",-0.5
"ctont","jtooln","PAN",-0.5
"ctont","jtooln","PER",-0.5
"ctont","jtooln","PHL",-0.5
"ctont","jtooln","PNG",-0.5
"ctont","jtooln","POL",-0.5
"ctont","jtooln","PRT",-0.5
"ctont","jtooln","ROU",-0.5
"ctont","jtooln","RUS",-0.5
"ctont","jtooln","SAU",-0.5
"ctont","jtooln","SDN",-0.5
"ctont","jtooln","SLB",-0.5
"ctont","jtooln","SLV",-0.5
"ctont","jtooln","SOM",-0.5
"ctont","jtooln","SPP",-0.5
"ctont","jtooln","SVK",-0.5
"ctont","jtooln","SVN",-0.5
"ctont","jtooln","SWE",-0.5
"ctont","jtooln","SYR",-0.5
"ctont","jtooln","TGO",-0.5
"ctont","jtooln","THA",-0.5
"ctont","jtooln","TLS",-0.5
"ctont","jtooln","TUN",-0.5
"ctont","jtooln","TUR",-0.5
"ctont","jtooln","TZA",-0.5
"ctont","jtooln","UGA",-0.5
"ctont","jtooln","UKP",-0.5
"ctont","jtooln","UKR",-0.5
"ctont","jtooln","URY",-0.5
"ctont","jtooln","USA",-0.5
"ctont","jtooln","UZB",-0.5
"ctont","jtooln","VEN",-0.5
"ctont","jtooln","VNM",-0.5
"ctont","jtooln","VUT",-0.5
"ctont","jtooln","ZAF",-0.5
"ctont","jtooln","ZWE",-0.5
